content,date,lang,is_retweet
"No one energizes our base like @realDonaldTrump.

In Kentucky, the governor was down 17 points. 

President Trump helped lift the entire ticket, winning 5 of 6 statewide races so far!",2019-11-06 05:18:49,en,True
Great going Tate! https://t.co/ghtl3Zmj1z,2019-11-06 05:18:27,en,False
"Our big Kentucky Rally on Monday night had a massive impact on all of the races. The increase in Governors race was at least 15 points, and maybe 20! Will be in Louisiana for @EddieRispone on Wednesday night. Big Rally!",2019-11-06 05:15:06,en,False
A lot of winning in Kentucky. Check out the numbers. https://t.co/xcXIzIwylg,2019-11-06 04:56:14,en,False
Congratulations to @tatereeves on winning Governor of the Great State of Mississippi. Our big Rally on Friday night moved the numbers from a tie to a big WIN. Great reaction under pressure Tate!,2019-11-06 04:51:12,en,False
"#ElectionNight  Won 5 out of 6 elections in Kentucky, including 5 great candidates that I spoke for and introduced last night. @MattBevin picked up at least 15 points in last days, but perhaps not enough (Fake News will blame Trump!). Winning in Mississippi Governor race!",2019-11-06 04:37:49,en,False
Florida county commission cites Trump in denying library New York Times subscription https://t.co/On4lqpdBy9 https://t.co/JtXot3Xo36,2019-11-06 02:55:52,en,True
"“Why the heck would we spend money on something like that?”
https://t.co/cqixFuhHPP",2019-11-06 02:55:12,en,True
"Florida county denies library subscriptions to the New York Times because it's 'fake news'
https://t.co/5JEqqR1swj",2019-11-06 02:54:52,en,True
"Officials in Citrus County, Fla., deny public library's request for digital New York Times subscription, citing Pres. Trump's belief that the nationally acclaimed paper is ""fake news"" https://t.co/dggaZSfEF0 https://t.co/MfO41P5Qfe",2019-11-06 02:54:28,en,True
"Great going Daniel, proud of you! https://t.co/0dUY5HoATN",2019-11-06 02:38:43,en,False
95% Approval Rating in the Republican Party. Thank you! https://t.co/Z0VHUlAwMD,2019-11-06 01:02:45,en,False
"KENTUCKY! #KYGov 
 
Get out today and VOTE for @MattBevin and the entire Republican ticket! 
 
MISSISSIPPI! #MSGov 
 
Get out today and VOTE for @TateReeves and the entire Republican ticket!

Polls are open for a few more hours, find your location below! 
https://t.co/0rnhb4z3HU",2019-11-05 20:42:10,en,False
Thank you so much CLUB 45. You are truly Great Americans. See you in Florida! https://t.co/0NuayEXEPn,2019-11-05 18:58:07,en,False
Club 45 on NBC Today Show. Showing our strong support for the President! @DanScavino https://t.co/rSVQDeAhNX,2019-11-05 18:56:03,en,True
"KENTUCKY! 
 
Get out today and VOTE for @MattBevin and the entire Republican ticket! 
 
MISSISSIPPI! 
 
Get out today and VOTE for @TateReeves and the entire Republican ticket!
 
#VoteOnNov5 #ElectionDay 

Find your polling location below!
https://t.co/0rnhb4z3HU",2019-11-05 17:19:46,en,False
"If you want to defeat the radical left and #KeepAmericaGreat, then GET OUT AND VOTE today!
 
So many strong conservatives like @MattBevin in KY and @TateReeves in MS!

In VA and NJ, don’t forget to support legislative candidates!
https://t.co/c8lJjlZhOd",2019-11-05 17:15:42,en,True
A very good start! Please all work hard to get a final deal. https://t.co/IYGeBqQIQ9,2019-11-05 17:00:14,en,False
"So sad to see what is happening in New York where Governor Cuomo &amp;  Mayor DeBlasio are letting out 900 Criminals, some hardened &amp; bad, onto the sidewalks of our rapidly declining, because of them, city. The Radical Left Dems are killing our cities. NYPD Commissioner is resigning!",2019-11-05 14:05:24,en,False
FIND YOUR POLLING LOCATION HERE! https://t.co/0rnhb4z3HU,2019-11-05 13:59:03,en,False
"This is the time for Mexico, with the help of the United States, to wage WAR on the drug cartels and wipe them off the face of the earth. We merely await a call from your great new president!",2019-11-05 13:28:37,en,False
"....monsters, the United States stands ready, willing &amp; able to get involved and do the job quickly and effectively. The great new President of Mexico has made this a big issue, but the cartels have become so large and powerful that you sometimes need an army to defeat an army!",2019-11-05 13:25:23,en,False
"A wonderful family and friends from Utah got caught between two vicious drug cartels, who were shooting at each other, with the result being many great American people killed, including young children, and some missing. If Mexico needs or requests help in cleaning out these.....",2019-11-05 13:25:13,en,False
"“The Impeachment Hoax has fired up voters in Kentucky, Mississippi and Louisiana.” @foxandfriends",2019-11-05 12:58:24,en,False
Fantastic being in the Great State of Kentucky last night. Vote for Matt Bevin NOW! @MattBevin  One of Best Governors in U.S. He will never let you down!,2019-11-05 12:47:14,en,False
"I hope everyone in the Great State of Virginia will get out and VOTE on Tuesday in all of the local and state elections to send a signal to D.C. that you want lower taxes, a strong Military, Border &amp; 2nd Amendment, great healthcare, and must take care of our Vets. VOTE REPUBLICAN",2019-11-05 12:31:53,en,True
"Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in, those numbers will go rapidly in the other direction. On Tuesday, Vote Republican!",2019-11-05 12:31:46,en,True
"Great Republican Geary Higgins has my complete and total Endorsement for Virginia Senate, 13th District. He is strong on Crime, the Border, our Military, Cutting Taxes, and protecting your 2nd Amendment. Dem John Bell will take your guns &amp; raise your taxes. Vote for Geary Higgins",2019-11-05 12:30:22,en,True
